Model,R2,RMSE,MAE,MAPE
Gradient Boosting,0.9826880088949967,526.8253892873907,271.0922550175785,0.07481488557327397
Random Forest (Tuned),0.982035857185122,536.6565521523684,262.6892844418253,0.06621106539906249
Random Forest,0.9820117044711909,537.0171972023855,260.1741654935589,0.06382159416227559
Decision Tree,0.9752836418874854,629.485058488478,318.31369790680543,0.08643663838281888
KNN (K=11),0.9718579458674083,671.6934041196939,362.0814084839493,0.10072670464596212
Lasso,0.9120771427568075,1187.2552073462587,802.8037133522301,0.43730334338875954
Ridge,0.7057955404221239,2171.789916330907,798.2934945578126,0.43368071068870184
Linear Regression,0.6881406144670935,2236.0041024426782,800.2763599719589,0.43518092212239967
