feature,importance
volume,0.6399182383788122
y,0.21905214526230418
clarity,0.06256492369152918
color,0.031890279575978626
log_carat,0.017921827489679375
carat,0.014440957588695865
x,0.003975598563985779
z,0.0029377124163479074
density,0.0026546032611476414
depth,0.0018623438992155978
table,0.0014192360528555601
cut,0.0013621338194480987
